Date;Price;Ticker
23/04/2020;75,24;URTH
24/04/2020;76,07;URTH
27/04/2020;77,22;URTH
28/04/2020;77,26;URTH
29/04/2020;79,3;URTH
30/04/2020;78,35;URTH
01/05/2020;76,33;URTH
04/05/2020;76,48;URTH
05/05/2020;76,9;URTH
06/05/2020;76,39;URTH
07/05/2020;77,4;URTH
08/05/2020;78,94;URTH
11/05/2020;78,98;URTH
12/05/2020;77,51;URTH
13/05/2020;76,3;URTH
14/05/2020;76,66;URTH
15/05/2020;77,0;URTH
18/05/2020;79,48;URTH
19/05/2020;78,63;URTH
20/05/2020;80,07;URTH
21/05/2020;79,33;URTH
22/05/2020;79,35;URTH
26/05/2020;80,83;URTH
27/05/2020;82,0;URTH
28/05/2020;82,15;URTH
29/05/2020;82,29;URTH
01/06/2020;83,16;URTH
02/06/2020;83,9;URTH
03/06/2020;85,24;URTH
04/06/2020;84,91;URTH
05/06/2020;86,85;URTH
08/06/2020;87,91;URTH
09/06/2020;87,1;URTH
10/06/2020;86,78;URTH
11/06/2020;81,85;URTH
12/06/2020;83,04;URTH
15/06/2020;83,71;URTH
16/06/2020;85,1;URTH
17/06/2020;85,02;URTH
18/06/2020;84,95;URTH
19/06/2020;84,52;URTH
22/06/2020;85,22;URTH
23/06/2020;85,6;URTH
24/06/2020;83,39;URTH
25/06/2020;84,44;URTH
26/06/2020;82,63;URTH
29/06/2020;83,63;URTH
30/06/2020;84,44;URTH
01/07/2020;84,92;URTH
02/07/2020;85,56;URTH
06/07/2020;86,88;URTH
07/07/2020;85,97;URTH
08/07/2020;86,7;URTH
09/07/2020;86,13;URTH
10/07/2020;87,0;URTH
13/07/2020;86,22;URTH
14/07/2020;87,41;URTH
15/07/2020;88,33;URTH
16/07/2020;87,92;URTH
17/07/2020;88,21;URTH
20/07/2020;88,9;URTH
21/07/2020;89,07;URTH
22/07/2020;89,5;URTH
23/07/2020;88,49;URTH
24/07/2020;87,94;URTH
27/07/2020;88,79;URTH
28/07/2020;88,21;URTH
29/07/2020;89,23;URTH
30/07/2020;88,7;URTH
31/07/2020;88,57;URTH
03/08/2020;89,53;URTH
04/08/2020;89,95;URTH
05/08/2020;90,5;URTH
06/08/2020;90,87;URTH
07/08/2020;90,59;URTH
10/08/2020;90,86;URTH
11/08/2020;90,48;URTH
12/08/2020;91,96;URTH
13/08/2020;91,86;URTH
14/08/2020;91,62;URTH
17/08/2020;92,23;URTH
18/08/2020;92,35;URTH
19/08/2020;91,93;URTH
20/08/2020;92,12;URTH
21/08/2020;92,19;URTH
24/08/2020;93,1;URTH
25/08/2020;93,39;URTH
26/08/2020;94,25;URTH
27/08/2020;94,13;URTH
28/08/2020;94,69;URTH
31/08/2020;94,36;URTH
01/09/2020;95,16;URTH
02/09/2020;96,26;URTH
03/09/2020;93,33;URTH
04/09/2020;92,7;URTH
08/09/2020;90,54;URTH
09/09/2020;92,2;URTH
10/09/2020;90,85;URTH
11/09/2020;91,09;URTH
14/09/2020;92,3;URTH
15/09/2020;92,84;URTH
16/09/2020;92,54;URTH
17/09/2020;91,98;URTH
18/09/2020;91,2;URTH
21/09/2020;89,67;URTH
22/09/2020;90,28;URTH
23/09/2020;88,48;URTH
24/09/2020;88,68;URTH
25/09/2020;89,77;URTH
28/09/2020;91,22;URTH
29/09/2020;90,92;URTH
30/09/2020;91,2;URTH
01/10/2020;91,76;URTH
02/10/2020;91,09;URTH
05/10/2020;92,73;URTH
06/10/2020;91,62;URTH
07/10/2020;92,89;URTH
08/10/2020;93,58;URTH
09/10/2020;94,3;URTH
12/10/2020;95,49;URTH
13/10/2020;94,92;URTH
14/10/2020;94,33;URTH
15/10/2020;93,94;URTH
16/10/2020;94,05;URTH
19/10/2020;92,92;URTH
20/10/2020;93,34;URTH
21/10/2020;92,96;URTH
22/10/2020;93,34;URTH
23/10/2020;93,79;URTH
26/10/2020;92,07;URTH
27/10/2020;91,61;URTH
28/10/2020;88,61;URTH
29/10/2020;89,37;URTH
30/10/2020;88,46;URTH
02/11/2020;89,5;URTH
03/11/2020;91,42;URTH
04/11/2020;93,14;URTH
05/11/2020;95,11;URTH
06/11/2020;95,24;URTH
09/11/2020;96,68;URTH
10/11/2020;96,9;URTH
11/11/2020;97,57;URTH
12/11/2020;96,57;URTH
13/11/2020;97,77;URTH
16/11/2020;98,91;URTH
17/11/2020;98,65;URTH
18/11/2020;97,8;URTH
19/11/2020;98,4;URTH
20/11/2020;98,11;URTH
23/11/2020;98,48;URTH
24/11/2020;100,04;URTH
25/11/2020;99,96;URTH
27/11/2020;100,41;URTH
30/11/2020;99,84;URTH
01/12/2020;100,92;URTH
02/12/2020;101,02;URTH
03/12/2020;101,1;URTH
04/12/2020;102,11;URTH
07/12/2020;101,73;URTH
08/12/2020;102,06;URTH
09/12/2020;101,43;URTH
10/12/2020;101,52;URTH
11/12/2020;101,24;URTH
14/12/2020;101,23;URTH
15/12/2020;102,33;URTH
16/12/2020;102,57;URTH
17/12/2020;103,37;URTH
18/12/2020;103,05;URTH
21/12/2020;102,35;URTH
22/12/2020;102,28;URTH
23/12/2020;102,58;URTH
24/12/2020;102,87;URTH
28/12/2020;103,48;URTH
29/12/2020;103,51;URTH
30/12/2020;103,65;URTH
31/12/2020;103,76;URTH
04/01/2021;103,04;URTH
05/01/2021;103,84;URTH
06/01/2021;104,46;URTH
07/01/2021;105,66;URTH
08/01/2021;106,44;URTH
11/01/2021;105,46;URTH
12/01/2021;105,76;URTH
13/01/2021;105,92;URTH
14/01/2021;105,84;URTH
15/01/2021;104,82;URTH
19/01/2021;105,66;URTH
20/01/2021;106,91;URTH
21/01/2021;106,89;URTH
22/01/2021;106,48;URTH
25/01/2021;106,73;URTH
26/01/2021;106,58;URTH
27/01/2021;104,02;URTH
28/01/2021;104,74;URTH
29/01/2021;102,91;URTH
01/02/2021;104,46;URTH
02/02/2021;105,78;URTH
03/02/2021;105,92;URTH
04/02/2021;106,85;URTH
05/02/2021;107,26;URTH
08/02/2021;108,1;URTH
09/02/2021;108,4;URTH
10/02/2021;108,29;URTH
11/02/2021;108,66;URTH
12/02/2021;109,18;URTH
16/02/2021;109,44;URTH
17/02/2021;109,26;URTH
18/02/2021;108,68;URTH
19/02/2021;108,68;URTH
22/02/2021;107,97;URTH
23/02/2021;107,96;URTH
24/02/2021;108,82;URTH
25/02/2021;106,5;URTH
26/02/2021;105,48;URTH
01/03/2021;107,89;URTH
02/03/2021;107,47;URTH
03/03/2021;105,99;URTH
04/03/2021;104,71;URTH
05/03/2021;106,2;URTH
08/03/2021;105,67;URTH
09/03/2021;107,32;URTH
10/03/2021;107,93;URTH
11/03/2021;108,93;URTH
12/03/2021;109,02;URTH
15/03/2021;109,5;URTH
16/03/2021;109,65;URTH
17/03/2021;110,04;URTH
18/03/2021;108,51;URTH
19/03/2021;108,54;URTH
22/03/2021;109,02;URTH
23/03/2021;108,0;URTH
24/03/2021;107,41;URTH
25/03/2021;108,03;URTH
26/03/2021;109,38;URTH
29/03/2021;109,24;URTH
30/03/2021;109,0;URTH
31/03/2021;109,38;URTH
01/04/2021;110,57;URTH
05/04/2021;112,08;URTH
